	Class	Date	Mean	SD
1	Bacillariophyta	11618	0.194670825	0.036489441
2	Bacillariophyta	12418	0.2184125	0.014998509
3	Bacillariophyta	20118	0.366287149	0.067985288
4	Bacillariophyta	20818	0.346953684	0.006125579
5	Bacillariophyta	22118	0.132593358	0.014851619
6	Bacillariophyta	31617	0.183643765	0.006349853
7	Bacillariophyta	32217	0.122852819	0.041818176
8	Bacillariophyta	32917	0.147307472	0.0219759
9	Bacillariophyta	41217	0.118177587	0.007341784
10	Bacillariophyta	42017	0.129248549	0.009748188
11	Bacillariophyta	50317	0.201777761	0.010321822
12	Bacillariophyta	60717	0.154565379	0.005306885
13	Bacillariophyta	61517	0.451300315	0.014883922
14	Bacillariophyta	62217	0.161024446	0.012661479
15	Bacillariophyta	70617	0.195311735	0.01728074
16	Bacillariophyta	72117	0.337980813	0.010295655
17	Bacillariophyta	72717	0.304825823	0.03888617
18	Bacillariophyta	80317	0.207274099	0.005783728
19	Bacillariophyta	81017	0.323897429	0.030393645
20	Bacillariophyta	81617	0.271269233	0.033660087
21	Bacillariophyta	82317	0.344366729	0.006843185
22	Bacillariophyta	83017	0.30086778	0.003440608
23	Bacillariophyta	90617	0.293552116	0.01396019
24	Bacillariophyta	92017	0.230519925	0.019918526
25	Bacillariophyta	92617	0.242115363	0.009877611
26	Bacillariophyta	100417	0.339489116	0.004304724
27	Bacillariophyta	101117	0.27568639	0.01488152
28	Bacillariophyta	101817	0.248979586	0.004081247
29	Bacillariophyta	110817	0.317048021	0.016896805
30	Bacillariophyta	111617	0.170557903	0.008078502
31	Bacillariophyta	112117	0.2173434	0.024927862
32	Bacillariophyta	120717	0.231940755	0.00906885
33	Bacillariophyta	121417	0.151913481	0.010017152
34	Cryptophyceae	11618	0.108703598	0.009989913
35	Cryptophyceae	12418	0.054768297	0.002300472
36	Cryptophyceae	20118	0.051195539	0.012240009
37	Cryptophyceae	20818	0.055486299	0.004021385
38	Cryptophyceae	22118	0.088095373	0.007054715
39	Cryptophyceae	31617	0.185797975	0.010905826
40	Cryptophyceae	32217	0.070652464	0.002352905
41	Cryptophyceae	32917	0.156704245	0.00937595
42	Cryptophyceae	41217	0.147749341	0.021790324
43	Cryptophyceae	42017	0.06284401	0.00346988
44	Cryptophyceae	50317	0.08644086	0.002846984
45	Cryptophyceae	60717	0.058922836	0.010430961
46	Cryptophyceae	61517	0.064826622	0.008953106
47	Cryptophyceae	62217	0.134487441	0.017998661
48	Cryptophyceae	70617	0.076799162	0.002540456
49	Cryptophyceae	72117	0.082136735	0.003475797
50	Cryptophyceae	72717	0.07528686	0.004794902
51	Cryptophyceae	81017	0.077924333	0.008540702
52	Cryptophyceae	82317	0.055314759	0.002823848
53	Cryptophyceae	90617	0.076046155	0.007570345
