# Constructed from biom file
#OTU.ID	11618A	11618B	11618C	12418A	12418B	12418C	20118A	20118B	20118C	20818A	20818B	20818C	22118A	22118B	22118C	31617A	31617B	31617C	32217A	32217B	32217C	32917A	32917B	32917C	41217A	41217B	41217C	42017A	42017B	42017C	50317A	50317B	50317C	60717A	60717B	60717C	61517A	61517B	61517C	62217A	62217B	62217C	70617A	70617B	70617C	72117A	72117B	72117C	72717A	72717B	72717C	80317A	80317B	80317C	81017A	81017B	81017C	81617A	81617B	81617C	82317A	82317B	82317C	83017A	83017B	92017A	92017B	92017C	92617A	92617B	92617C	100417A	100417B	100417C	101117A	101117B	101817A	101817B	101817C	110817A	110817B	110817C	111617A	111617B	111617C	112117A	112117B	120717A	120717B	120717C	121417A	121417B	121417C	taxonomy
ASV_1	29	33	25	0	0	0	0	0	0	0	0	0	0	0	0	192	297	283	738	891	932	186	131	51	1293	833	1408	24681	15497	15782	26003	18757	19549	5994	6540	5028	2070	1618	1977	6563	2866	4631	1718	2742	3512	5498	4874	3944	1145	1113	1179	11561	6871	8103	2997	3353	2885	4019	5563	3303	1666	1771	2148	6112	2710	6738	5939	5822	13954	8319	13233	2659	5122	1380	4913	3200	2075	3180	1887	3363	4354	3583	10526	9581	11041	2040	6400	503	955	596	2560	1643	2693	c_Mamiellophyceae; o_Mamiellales; f_Bathycoccaceae; g_Ostreococcus; s_Ostreococcus_tauri
SSV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	468	407	7375	8601	6815	3359	2537	2874	1133	916	1183	689	1093	1260	7596	6602	5380	3373	3817	4483	9682	6845	5974	3822	4217	3900	1994	3216	1899	1744	1593	2177	12753	5901	5101	4632	5046	1916	1144	1740	679	1110	352	1381	780	1432	1755	1030	105	122	93	79	63	71	0	37	0	0	0	0	0	0	c_Syndiniales; o_Dino-Group-I; f_Dino-Group-I-Clade-1; g_Dino-Group-I-Clade-1_X; s_Dino-Group-I-Clade-1_X_sp.
ASV_5	2270	3226	1707	1092	831	1520	1127	1222	916	1165	862	1266	2087	1930	2814	1750	2562	2896	7780	8501	7717	2988	2089	1078	1436	1148	1360	3848	1944	2531	2339	2193	1963	923	904	756	1256	1067	1228	1545	697	1156	541	941	1223	1405	1123	1009	546	639	675	1150	737	770	821	869	733	859	1268	699	259	280	370	941	380	1047	852	861	1232	714	1149	438	871	209	851	557	380	483	276	1287	1655	1358	4944	4260	4829	1221	4135	561	961	553	3763	2491	3522	c_Mamiellophyceae; o_Mamiellales; f_Bathycoccaceae; g_Bathycoccus; s_Bathycoccus_prasinos
ASV_7	201	191	175	0	0	0	0	0	0	0	0	0	0	0	0	819	1402	1802	147	245	188	767	527	276	5250	4141	5597	146	86	169	1313	1319	1525	687	452	437	1304	1309	1661	4731	2662	3430	994	867	1363	1182	1566	1412	546	647	749	270	196	113	418	654	557	516	842	554	649	805	781	135	56	2126	1814	1900	438	396	550	389	841	251	765	436	1274	1507	1105	3003	2903	3195	5388	7357	7300	707	2600	3598	6013	3752	2647	3721	3515	c_Dinophyceae; o_Peridiniales; f_Heterocapsaceae; g_Heterocapsa; s_Heterocapsa_pygmaea
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	41	0	0	0	25	18	0	78	27	91	415	191	338	481	453	565	663	691	453	7745	8580	9674	1983	1424	1914	1481	1533	2156	1902	2068	1924	1945	2512	2910	2422	1852	1259	1209	1984	1521	905	1710	988	1216	1642	1700	3094	1546	2142	1804	1768	1326	866	1251	370	715	230	2072	1071	1530	1746	1422	3038	2882	2694	807	1057	1197	330	961	237	434	286	215	233	228	c_Bacillariophyta; o_Bacillariophyta_X; f_Polar-centric-Mediophyceae; g_Thalassiosira; s_Thalassiosira_sp.
ASV_10	1675	2346	1212	866	877	1271	562	603	436	226	213	275	188	185	265	961	1725	2212	59	139	113	2734	2526	1063	353	171	403	425	185	373	1015	961	1074	885	820	718	997	918	1045	3924	1669	3377	181	315	379	670	657	518	1250	1093	1019	915	496	553	398	529	318	408	533	302	477	567	645	1833	962	1633	1460	1379	656	382	616	183	261	117	759	550	656	834	531	1131	1442	1271	1270	1201	1323	301	1084	1023	2249	1351	768	788	917	c_Picozoa_X; o_Picozoa_XX; f_Picozoa_XXX; g_Picozoa_XXXX; s_Picozoa_XXXX_sp.
ASV_11	83	78	129	75	56	121	104	237	123	112	92	126	69	46	91	20	52	85	0	48	34	61	79	48	81	52	85	156	58	67	595	563	642	79	56	80	104	230	246	914	602	933	719	974	641	898	640	681	892	1560	1526	450	284	218	949	1401	1424	849	1893	1178	484	507	470	2140	875	1763	1685	1014	3256	2669	3259	7511	14054	4063	2112	1252	1278	1436	1097	1153	1253	1142	652	727	846	153	287	155	339	167	236	219	255	c_Bacillariophyta; o_Bacillariophyta_X; f_Polar-centric-Mediophyceae; g_Cyclotella; s_Cyclotella_striata
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	64	60	136	37	48	59	89	76	45	255	124	234	4407	2627	3287	2962	3054	2984	6367	6505	4535	4084	4535	4295	2439	1487	2811	194	299	364	711	647	607	419	545	605	823	513	536	651	967	708	474	733	432	240	205	301	320	138	893	637	816	1656	885	1535	539	637	210	453	240	166	251	164	331	356	307	423	336	471	85	241	110	191	111	142	210	194	c_Bacillariophyta; o_Bacillariophyta_X; f_Polar-centric-Mediophyceae; g_Skeletonema; s_Skeletonema_sp.
ASV_13	2917	3355	2366	1446	1129	1613	1636	983	806	1000	892	1218	321	340	389	1794	3366	4283	897	1316	1069	2717	2532	1134	1330	557	1594	595	357	559	1105	999	1058	1360	944	791	0	820	0	0	0	0	708	0	1111	0	969	1010	0	0	0	609	352	231	513	841	566	448	478	392	0	0	0	490	234	0	0	0	538	347	553	0	0	0	0	0	0	0	0	1083	0	0	2070	2549	3448	494	1986	625	1404	775	1216	1291	1638	c_Cryptophyceae; o_Cryptophyceae_X; f_Cryptomonadales; g_Geminigera; s_Geminigera_cryophila
ASV_15	1744	2400	1513	543	454	466	399	328	215	348	306	365	721	781	955	313	607	832	272	442	364	2269	1956	885	762	364	850	312	162	272	932	851	805	811	598	442	785	661	651	2200	917	1703	1030	1318	1577	1922	1620	1580	647	766	738	200	123	78	767	1186	658	496	462	338	387	442	511	200	85	837	720	621	276	184	334	525	1197	327	564	327	570	698	566	668	826	804	1000	1142	1529	159	579	468	786	444	829	812	1063	c_Cryptophyceae; o_Cryptophyceae_X; f_Cryptomonadales; g_Plagioselmis; s_Plagioselmis_prolonga
ASV_17	707	939	513	162	103	193	129	122	91	211	162	186	448	448	577	1137	1841	2259	645	1021	837	1699	1383	644	810	476	914	614	313	432	1114	1100	1165	521	389	440	851	593	769	1778	715	1360	293	385	481	457	337	302	284	299	414	384	238	201	261	266	249	291	254	189	107	118	160	264	112	417	336	273	358	260	342	377	706	164	277	180	139	208	140	274	446	404	2752	2741	3292	470	1853	606	1174	671	1958	1573	2244	c_Cryptophyceae; o_Cryptophyceae_X; f_Cryptomonadales; g_Hemiselmis; s_Hemiselmis_cryptochromatica
ASV_19	13	54	7	31	27	11	12	41	17	44	49	48	2	3	3	13	14	25	0	26	16	21	0	0	21	9	13	125	99	82	123	153	141	661	514	402	3914	5119	4787	105	92	140	92	148	146	1889	2341	2034	757	1316	1308	729	421	373	704	1216	996	1086	1820	1125	827	799	1026	1948	876	1103	991	799	840	478	702	440	879	334	633	327	417	502	374	504	488	540	231	266	287	142	298	132	353	233	280	212	234	c_Bacillariophyta; o_Bacillariophyta_X; f_Polar-centric-Mediophyceae; g_Cyclotella; s_Cyclotella_sp.
ASV_20	14	32	36	32	12	64	0	0	16	0	0	0	12	0	0	0	0	56	0	21	0	0	0	0	0	37	32	0	9	25	0	11	21	45	62	64	111	74	145	182	302	407	3125	4623	4674	601	473	429	751	1249	1064	718	413	363	2346	2555	2431	2726	2676	1653	2713	3407	3265	903	336	270	295	167	310	310	395	179	261	87	74	62	40	55	30	0	54	59	0	68	0	12	96	70	90	108	139	152	121	c_Dinophyceae; o_Gymnodiniales; f_Gymnodiniaceae; g_Akashiwo; s_Akashiwo_sanguinea
ASV_21	0	0	0	0	0	0	25	26	18	0	10	5	13	21	21	148	439	478	10	53	29	253	336	96	471	893	623	360	70	101	475	315	615	105	74	74	224	290	257	702	378	595	122	105	120	169	134	221	242	794	736	141	212	272	150	289	646	349	1081	678	690	570	578	3025	1343	1248	1138	1015	455	347	438	242	443	117	1004	466	852	1024	826	951	1669	1252	1242	1307	1812	192	552	508	925	541	117	143	194	c_Bacillariophyta; o_Bacillariophyta_X; f_Polar-centric-Mediophyceae; g_Thalassiosira; s_Thalassiosira_minima
ASV_23	369	408	345	99	85	110	108	96	94	198	124	163	242	271	323	556	1021	1498	325	613	568	1824	1579	807	1448	569	1624	414	210	325	292	202	267	617	316	222	106	140	136	321	160	200	155	165	167	743	648	632	185	218	211	50	27	17	178	263	168	116	134	103	72	84	82	27	11	1051	863	842	150	91	186	248	677	196	535	304	384	459	342	250	385	331	1337	1476	2084	282	1085	346	657	345	767	724	907	c_Cryptophyceae; o_Cryptophyceae_X; f_Cryptomonadales; g_Teleaulax; s_Teleaulax_acuta
