Mamiellophyceae,Syndiniales,Dinophyceae,Bacillariophyta,Cryptophyceae,Spirotrichea,Filosa-Thecofilosea
0.050269856,0.006079041,0.395572843,0.191029938,0.108633135,0.069682409,0.075348704
0.033638603,0.003714331,0.485765008,0.216479312,0.054588214,0.069183502,0.033671357
0.040818621,0.003283481,0.256628809,0.36226995,0.050796507,0.143491135,0.032594925
0.045744762,0.015739391,0.21926176,0.3431356,0.055114726,0.094919807,0.061768091
0.214830121,0.056550091,0.303383037,0.132767071,0.086143878,0.078968683,0.03289583
0.11128874,0.048551134,0.197005439,0.180940869,0.183904236,0.100611519,0.018371578
0.402555582,0.021868267,0.173558045,0.126437749,0.069582124,0.089015391,0.015423227
0.087358736,0.079863542,0.223761265,0.139536176,0.155965597,0.079513507,0.028708426
0.158576984,0.076687951,0.265799286,0.116280186,0.151223454,0.043625074,0.029886216
0.472011277,0.066250208,0.093994466,0.130112974,0.062317951,0.069953604,0.017991636
0.352646813,0.047723396,0.07660061,0.199690585,0.085642603,0.096984792,0.039706736
0.123541535,0.234997886,0.2477119,0.152842951,0.058756077,0.086873811,0.006161488
0.063603791,0.144302849,0.137892918,0.448097985,0.063889665,0.0387264,0.010647219
0.096636082,0.176167499,0.244686467,0.158049223,0.136605041,0.042059528,0.006493438
0.07364394,0.134069903,0.326649649,0.176269997,0.06989614,0.057022415,0.00699546
0.097849729,0.156543766,0.191175619,0.33638609,0.081724009,0.060568877,0.004091993
0.045509217,0.195332891,0.150617345,0.303386599,0.07375406,0.091042981,0.007740331
0.204552752,0.278903896,0.096438551,0.205188115,0.031822809,0.076694472,0.008403189
0.087619268,0.192901492,0.17410834,0.322403263,0.077722797,0.066507763,0.011084627
0.118531719,0.149124523,0.228261578,0.271104543,0.04569723,0.109208267,0.003288926
0.073382913,0.106207365,0.269045927,0.342237876,0.0552308,0.079801398,0.008370553
0.085609656,0.277176417,0.142949532,0.297612792,0.020436375,0.077946015,0.013306279
0.090162218,0.190652617,0.199737355,0.287330216,0.076103713,0.048012079,0.009357534
0.13357631,0.180580106,0.218563402,0.228987092,0.072795748,0.049506454,0.011808656
0.281659527,0.147698736,0.132800135,0.238609745,0.040172762,0.060825402,0.011944204
0.095636167,0.064866417,0.209882798,0.336271828,0.10143716,0.092013713,0.011728645
0.132445508,0.09519846,0.180356864,0.276998908,0.087967539,0.12156011,0.014786974
0.069267417,0.129338881,0.230370622,0.246047828,0.084635256,0.080706286,0.01649703
0.108313893,0.062208398,0.170081649,0.31410705,0.105728357,0.064955936,0.019245723
0.222469201,0.037911564,0.155844394,0.169997067,0.190442363,0.064525739,0.019615751
0.212997193,0.017427801,0.1039831,0.207396392,0.157586792,0.168816188,0.023737388
0.044207806,0.048092682,0.275514009,0.230595132,0.125478022,0.037920898,0.03114838
0.14777608,0.040457179,0.180464674,0.150435271,0.195850509,0.100429506,0.022491424
