Sample	Season	Heat	Date	Month	Temp	Salinity	Chlorophyll	Nitrate	Ammonium	Phosphate	Silicate	Solar 	POC	PON	DO
011618-A-G10	Winter	low	11618	Jan	8.52	29.03	3.440439207	0.838870968	4.993550765	0.570129093	39.1021644	6.74	58.26111574	7.161937968	18.33
011618-B-G11	Winter	low	11618	Jan	8.52	29.03	3.440439207	0.838870968	4.993550765	0.570129093	39.1021644	6.74	58.26111574	7.161937968	18.33
011618-C-G12	Winter	low	11618	Jan	8.52	29.03	3.440439207	0.838870968	4.993550765	0.570129093	39.1021644	6.74	58.26111574	7.161937968	18.33
012418-A-H1	Winter	low	12418	Jan	9.71	29.3	2.074240031	0.197258065	1.023217247	0.410921344	26.28196055	6.58	34.26489189	6.719691923	17.2
012418-B-H2	Winter	low	12418	Jan	9.71	29.3	2.074240031	0.197258065	1.023217247	0.410921344	26.28196055	6.58	34.26489189	6.719691923	17.2
012418-C-H3	Winter	low	12418	Jan	9.71	29.3	2.074240031	0.197258065	1.023217247	0.410921344	26.28196055	6.58	34.26489189	6.719691923	17.2
020118-A-H4	Winter	mild	20118	Feb	10.84	31	3.187457503	0.342903226	2.359038143	0.370599768	18.38012	7.52	80.48018318	6.764904246	14.13
020118-B-H5	Winter	mild	20118	Feb	10.84	31	3.187457503	0.342903226	2.359038143	0.370599768	18.38012	7.52	80.48018318	6.764904246	14.13
020118-C-H6	Winter	mild	20118	Feb	10.84	31	3.187457503	0.342903226	2.359038143	0.370599768	18.38012	7.52	80.48018318	6.764904246	14.13
020818-A-H7	Winter	mild	20818	Feb	12.79	29.02	2.306241399	0.421774194	3.02957435	0.463679688	24.8779862	3.45	37.86234908	21.07731057	14.86
020818-B-H8	Winter	mild	20818	Feb	12.79	29.02	2.306241399	0.421774194	3.02957435	0.463679688	24.8779862	3.45	37.86234908	21.07731057	14.86
020818-C-H9	Winter	mild	20818	Feb	12.79	29.02	2.306241399	0.421774194	3.02957435	0.463679688	24.8779862	3.45	37.86234908	21.07731057	14.86
022118-A-H10	Winter	mild	22118	Feb	17.32	28.35	1.321243313	0.493387097	3.855444997	0.62374234	34.79159375	11.52	40.86018292	11.30425167	11.63
022118-B-H11	Winter	mild	22118	Feb	17.32	28.35	1.321243313	0.493387097	3.855444997	0.62374234	34.79159375	11.52	40.86018292	11.30425167	11.63
022118-C-H12	Winter	mild	22118	Feb	17.32	28.35	1.321243313	0.493387097	3.855444997	0.62374234	34.79159375	11.52	40.86018292	11.30425167	11.63
031617-A-A1	Spring	mild	31617	Mar	13.56	27.34	4.052459385	0.605887097	2.951907131	0.707931031	43.44829055	13.49	78.54995837	8.131928571	9.84
031617-B-A2	Spring	mild	31617	Mar	13.56	27.34	4.052459385	0.605887097	2.951907131	0.707931031	43.44829055	13.49	78.54995837	8.131928571	9.84
031617-C-A3	Spring	mild	31617	Mar	13.56	27.34	4.052459385	0.605887097	2.951907131	0.707931031	43.44829055	13.49	78.54995837	8.131928571	9.84
032217-A-A4	Spring	mild	32217	Mar	16.82	26.64	3.168162451	0.005	1.388888889	0.551370643	43.44829055	12.56	68.63613655	12.829	11.09
032217-B-A5	Spring	mild	32217	Mar	16.82	26.64	3.168162451	0.005	1.388888889	0.551370643	43.44829055	12.56	68.63613655	12.829	11.09
032217-C-A6	Spring	mild	32217	Mar	16.82	26.64	3.168162451	0.005	1.388888889	0.551370643	43.44829055	12.56	68.63613655	12.829	11.09
032917-A-A7	Spring	mild	32917	Mar	19.82	27.7	5.141512813	0.030080645	0.95660586	0.763375487	43.9335302	14.09	154.2717735	16.38613839	8.98
032917-B-A8	Spring	mild	32917	Mar	19.82	27.7	5.141512813	0.030080645	0.95660586	0.763375487	43.9335302	14.09	154.2717735	16.38613839	8.98
032917-C-A9	Spring	mild	32917	Mar	19.82	27.7	5.141512813	0.030080645	0.95660586	0.763375487	43.9335302	14.09	154.2717735	16.38613839	8.98
041217-A-A10	Spring	high	41217	Apr	20.36	28.84	3.909516173	0.185268817	3.184816657	0.413211997	37.5010393	17.41	61.29337011	13.72422922	9.49
041217-B-A11	Spring	high	41217	Apr	20.36	28.84	3.909516173	0.185268817	3.184816657	0.413211997	37.5010393	17.41	61.29337011	13.72422922	9.49
041217-C-A12	Spring	high	41217	Apr	20.36	28.84	3.909516173	0.185268817	3.184816657	0.413211997	37.5010393	17.41	61.29337011	13.72422922	9.49
042017-A-B1	Spring	high	42017	Apr	24.2	27.45	3.159566541	0.170241935	1.134051962	0.550707908	55.7154518	14.86	50.22402945	13.40239988	8.08
042017-B-B2	Spring	high	42017	Apr	24.2	27.45	3.159566541	0.170241935	1.134051962	0.550707908	55.7154518	14.86	50.22402945	13.40239988	8.08
042017-C-B3	Spring	high	42017	Apr	24.2	27.45	3.159566541	0.170241935	1.134051962	0.550707908	55.7154518	14.86	50.22402945	13.40239988	8.08
050317-A-B4	Spring	high	50317	May	25.9	29.6	6.22365088	0.628387097	0.480099502	0.566276824	52.25205095	22.33	56.70694647	12.08769386	7.13
050317-B-B5	Spring	high	50317	May	25.9	29.6	6.22365088	0.628387097	0.480099502	0.566276824	52.25205095	22.33	56.70694647	12.08769386	7.13
050317-C-B6	Spring	high	50317	May	25.9	29.6	6.22365088	0.628387097	0.480099502	0.566276824	52.25205095	22.33	56.70694647	12.08769386	7.13
060717-A-B7	Spring	high	60717	Jun	27.96	30.87	2.681676045	0.678467742	1.300442233	0.717022323	91.04481455	16.12	52.57301337	11.9153382	6.11
060717-B-B8	Spring	high	60717	Jun	27.96	30.87	2.681676045	0.678467742	1.300442233	0.717022323	91.04481455	16.12	52.57301337	11.9153382	6.11
060717-C-B9	Spring	high	60717	Jun	27.96	30.87	2.681676045	0.678467742	1.300442233	0.717022323	91.04481455	16.12	52.57301337	11.9153382	6.11
061517-A-B10	Spring	high	61517	Jun	28.03	28.89	5.40814	0.320483871	0.535378662	0.570205328	99.0110678	19.86	68.86424854	14.80222289	7.69
061517-B-B11	Spring	high	61517	Jun	28.03	28.89	5.40814	0.320483871	0.535378662	0.570205328	99.0110678	19.86	68.86424854	14.80222289	7.69
