Sample	Temp	Salinity	Chlorophyll	Nitrate	Ammonium	Phosphate	Silicate
11618A	8.52	29.03	3.440439207	0.838870968	4.993550765	0.570129093	39.1021644
11618B	8.52	29.03	3.440439207	0.838870968	4.993550765	0.570129093	39.1021644
11618C	8.52	29.03	3.440439207	0.838870968	4.993550765	0.570129093	39.1021644
12418A	9.71	29.3	2.074240031	0.197258065	1.023217247	0.410921344	26.28196055
12418B	9.71	29.3	2.074240031	0.197258065	1.023217247	0.410921344	26.28196055
12418C	9.71	29.3	2.074240031	0.197258065	1.023217247	0.410921344	26.28196055
20118A	10.84	31	3.187457503	0.342903226	2.359038143	0.370599768	18.38012
20118B	10.84	31	3.187457503	0.342903226	2.359038143	0.370599768	18.38012
20118C	10.84	31	3.187457503	0.342903226	2.359038143	0.370599768	18.38012
20818A	12.79	29.02	2.306241399	0.421774194	3.02957435	0.463679688	24.8779862
20818B	12.79	29.02	2.306241399	0.421774194	3.02957435	0.463679688	24.8779862
20818C	12.79	29.02	2.306241399	0.421774194	3.02957435	0.463679688	24.8779862
22118A	17.32	28.35	1.321243313	0.493387097	3.855444997	0.62374234	34.79159375
22118B	17.32	28.35	1.321243313	0.493387097	3.855444997	0.62374234	34.79159375
22118C	17.32	28.35	1.321243313	0.493387097	3.855444997	0.62374234	34.79159375
31617A	13.56	27.34	4.052459385	0.605887097	2.951907131	0.707931031	43.44829055
31617B	13.56	27.34	4.052459385	0.605887097	2.951907131	0.707931031	43.44829055
31617C	13.56	27.34	4.052459385	0.605887097	2.951907131	0.707931031	43.44829055
32217A	16.82	26.64	3.168162451	0.005	1.388888889	0.551370643	43.44829055
32217B	16.82	26.64	3.168162451	0.005	1.388888889	0.551370643	43.44829055
32217C	16.82	26.64	3.168162451	0.005	1.388888889	0.551370643	43.44829055
32917A	19.82	27.7	5.141512813	0.030080645	0.95660586	0.763375487	43.9335302
32917B	19.82	27.7	5.141512813	0.030080645	0.95660586	0.763375487	43.9335302
32917C	19.82	27.7	5.141512813	0.030080645	0.95660586	0.763375487	43.9335302
41217A	20.36	28.84	3.909516173	0.185268817	3.184816657	0.413211997	37.5010393
41217B	20.36	28.84	3.909516173	0.185268817	3.184816657	0.413211997	37.5010393
41217C	20.36	28.84	3.909516173	0.185268817	3.184816657	0.413211997	37.5010393
42017A	24.2	27.45	3.159566541	0.170241935	1.134051962	0.550707908	55.7154518
42017B	24.2	27.45	3.159566541	0.170241935	1.134051962	0.550707908	55.7154518
42017C	24.2	27.45	3.159566541	0.170241935	1.134051962	0.550707908	55.7154518
50317A	25.9	29.6	6.22365088	0.628387097	0.480099502	0.566276824	52.25205095
50317B	25.9	29.6	6.22365088	0.628387097	0.480099502	0.566276824	52.25205095
50317C	25.9	29.6	6.22365088	0.628387097	0.480099502	0.566276824	52.25205095
60717A	27.96	30.87	2.681676045	0.678467742	1.300442233	0.717022323	91.04481455
60717B	27.96	30.87	2.681676045	0.678467742	1.300442233	0.717022323	91.04481455
60717C	27.96	30.87	2.681676045	0.678467742	1.300442233	0.717022323	91.04481455
61517A	28.03	28.89	5.40814	0.320483871	0.535378662	0.570205328	99.0110678
61517B	28.03	28.89	5.40814	0.320483871	0.535378662	0.570205328	99.0110678
61517C	28.03	28.89	5.40814	0.320483871	0.535378662	0.570205328	99.0110678
62217A	28.93	31.48	1.939876304	0.598387097	2.137368712	0.761783405	113.0611688
62217B	28.93	31.48	1.939876304	0.598387097	2.137368712	0.761783405	113.0611688
62217C	28.93	31.48	1.939876304	0.598387097	2.137368712	0.761783405	113.0611688
70617A	30.01	28.12	4.092495176	0.583306452	0.590934218	0.537349373	98.47680695
70617B	30.01	28.12	4.092495176	0.583306452	0.590934218	0.537349373	98.47680695
70617C	30.01	28.12	4.092495176	0.583306452	0.590934218	0.537349373	98.47680695
72117A	30.23	30.15	6.382277018	1.299354839	0.090934218	0.733717841	127.0468023
72117B	30.23	30.15	6.382277018	1.299354839	0.090934218	0.733717841	127.0468023
72117C	30.23	30.15	6.382277018	1.299354839	0.090934218	0.733717841	127.0468023
72717A	29.74	32.14	4.11488913	0.771129032	0.191818684	0.816277667	121.8598952
72717B	29.74	32.14	4.11488913	0.771129032	0.191818684	0.816277667	121.8598952
72717C	29.74	32.14	4.11488913	0.771129032	0.191818684	0.816277667	121.8598952
80317A	29.13	29.94	4.587961418	1.259354839	0	0.690555228	130.214233
80317B	29.13	29.94	4.587961418	1.259354839	0	0.690555228	130.214233
80317C	29.13	29.94	4.587961418	1.259354839	0	0.690555228	130.214233
81017A	29.22	29.73	4.758715321	1.507177419	0	0.690399916	139.2380938
81017B	29.22	29.73	4.758715321	1.507177419	0	0.690399916	139.2380938
81017C	29.22	29.73	4.758715321	1.507177419	0	0.690399916	139.2380938
81617A	31.23	29.28	5.315764938	1.770080645	0	0.66823818	119.097811
81617B	31.23	29.28	5.315764938	1.770080645	0	0.66823818	119.097811
81617C	31.23	29.28	5.315764938	1.770080645	0	0.66823818	119.097811
82317A	30.66	30.32	5.797234958	1.497177419	0.352404643	0.729217648	119.64932
82317B	30.66	30.32	5.797234958	1.497177419	0.352404643	0.729217648	119.64932
82317C	30.66	30.32	5.797234958	1.497177419	0.352404643	0.729217648	119.64932
83017A	27.02	26.58	2.474531967	1.71	1.206191266	0.693121407	125.745877
83017B	27.02	26.58	2.474531967	1.71	1.206191266	0.693121407	125.745877
92017A	27.05	26.73	2.578104006	0.748548387	2.852128248	0.358405496	81.62011895
92017B	27.05	26.73	2.578104006	0.748548387	2.852128248	0.358405496	81.62011895
92017C	27.05	26.73	2.578104006	0.748548387	2.852128248	0.358405496	81.62011895
92617A	28.13	28.79	2.74325942	0.460645161	0.895798784	0.537611035	86.83790495
92617B	28.13	28.79	2.74325942	0.460645161	0.895798784	0.537611035	86.83790495
92617C	28.13	28.79	2.74325942	0.460645161	0.895798784	0.537611035	86.83790495
100417A	24.82	27.77	2.757255642	0.751048387	1.632946379	0.727940402	82.66004495
100417B	24.82	27.77	2.757255642	0.751048387	1.632946379	0.727940402	82.66004495
100417C	24.82	27.77	2.757255642	0.751048387	1.632946379	0.727940402	82.66004495
101117A	28.1	29.23	2.650884358	0.721048387	2.026533997	0.72450816	74.9048552
101117B	28.1	29.23	2.650884358	0.721048387	2.026533997	0.72450816	74.9048552
101817A	23.9	29.75	2.491327433	0.961370968	2.18159204	0.708597136	82.139855
101817B	23.9	29.75	2.491327433	0.961370968	2.18159204	0.708597136	82.139855
101817C	23.9	29.75	2.491327433	0.961370968	2.18159204	0.708597136	82.139855
110817A	21.42	31.19	2.648085114	0.550806452	2.043117745	0.689344109	62.20648895
110817B	21.42	31.19	2.648085114	0.550806452	2.043117745	0.689344109	62.20648895
110817C	21.42	31.19	2.648085114	0.550806452	2.043117745	0.689344109	62.20648895
111617A	16.43	30.53	2.230997712	0.881290323	0.973189608	0.673258713	62.7089768
111617B	16.43	30.53	2.230997712	0.881290323	0.973189608	0.673258713	62.7089768
111617C	16.43	30.53	2.230997712	0.881290323	0.973189608	0.673258713	62.7089768
112117A	16.1	30.83	2.760054886	0.35483871	3.245715865	0.648889228	59.20109375
112117B	16.1	30.83	2.760054886	0.35483871	3.245715865	0.648889228	59.20109375
120717A	16.95	30.82	3.174343043	0.428870968	1.90989497	0.470095504	54.7236392
120717B	16.95	30.82	3.174343043	0.428870968	1.90989497	0.470095504	54.7236392
120717C	16.95	30.82	3.174343043	0.428870968	1.90989497	0.470095504	54.7236392
121417A	12.17	29.94	1.659951874	0.908870968	4.819789939	0.531687059	58.7017832
121417B	12.17	29.94	1.659951874	0.908870968	4.819789939	0.531687059	58.7017832
121417C	12.17	29.94	1.659951874	0.908870968	4.819789939	0.531687059	58.7017832
